Company/Brand,HeadQuarter,Sector,Amount($),Funding Year
Thecollegefever,Karnataka,E-Commerce and Retail,250000,2018
Happy Cow Dairy,Maharashtra,Agriculture and Food Production,584000,2018
Myloancare,Haryana,Banking and Financial Services,949000,2018
Payme India,Uttar Pradesh,Banking and Financial Services,2000000,2018
Eunimart,Telangana,E-Commerce and Retail,0,2018
Hasura,Karnataka,Information Technology (IT),1600000,2018
Tripshelf,Delhi,Information Technology (IT),233600,2018
Hyperdata.Io,Telangana,E-Commerce and Retail,730000,2018
Freightwalla,Maharashtra,Information Technology (IT),0,2018
Microchip Payments,Karnataka,Banking and Financial Services,0,2018
Bizcrum Infotech Pvt. Ltd.,Delhi,E-Commerce and Retail,0,2018
Emojifi,Karnataka,Information Technology (IT),0,2018
Flock,N/A,Information Technology (IT),0,2018
Freshboxx,Karnataka,Agriculture and Food Production,0,2018
Wide Mobility Mechatronics,Karnataka,Manufacturing,0,2018
Pitstop,Karnataka,Manufacturing,1460000,2018
Mihuru,Maharashtra,Banking and Financial Services,150000,2018
Fyle,Karnataka,Banking and Financial Services,1100000,2018
Appwharf,Delhi,Information Technology (IT),0,2018
Antariksh Waste Ventures Pvt Ltd,Tamil Nadu,Information Technology (IT),7300,2018
Cogoport,Maharashtra,Transportation and Tourism,6000000,2018
Paisadukan,Maharashtra,Banking and Financial Services,650000,2018
Sleepy Owl Coffee,Delhi,Agriculture and Food Production,511000,2018
Bluejack,Delhi,Manufacturing,934400,2018
Pregbuddy,Karnataka,Information Technology (IT),0,2018
Agnext Technologies,Punjab,Agriculture and Food Production,0,2018
Pando,Tamil Nadu,Transportation and Tourism,2000000,2018
Mintifi,Maharashtra,Banking and Financial Services,2000000,2018
Carcrew,Maharashtra,Manufacturing,2000000,2018
Nicheai,Telangana,Information Technology (IT),0,2018
Chariot Tech,Delhi,Information Technology (IT),292000,2018
Ideal Insurance Brokers/ 121Policy.Com,West Bengal,Banking and Financial Services,1000000,2018
Loanzen,Karnataka,Banking and Financial Services,0,2018
Mojro Technologies,Karnataka,Information Technology (IT),650000,2018
Elemential,Maharashtra,Blockchain,1000000,2018
Loadshare,Karnataka,Manufacturing,5000000,2018
Yumlane,Maharashtra,Agriculture and Food Production,4000000,2018
Kriger Campus,Delhi,Education,438000,2018
Pipa+Bella,Maharashtra,E-Commerce and Retail,1000000,2018
Kaleidofin,Tamil Nadu,Banking and Financial Services,2800000,2018
Chakr Innovation,Delhi,Energy,0,2018
Indigolearn,Telangana,Education,150000,2018
Uclean,N/A,Energy,584000,2018
Coutloot,Maharashtra,E-Commerce and Retail,1000000,2018
Letstrack,Delhi,Information Technology (IT),1700000,2018
Pooltoo,Delhi,Transportation and Tourism,0,2018
Finzy,Karnataka,Banking and Financial Services,1300000,2018
Fitternity,Maharashtra,Healthcare and Fitness,2000000,2018
Keito,Maharashtra,Information Technology (IT),0,2018
Tolet For Students,Rajasthan,Events and Hospitality,73000,2018
Chai Kings,Tamil Nadu,Agriculture and Food Production,292000,2018
Dainik Jagran,Uttar Pradesh,Media and Entertainment,584000,2018
Playtoome,Karnataka,Media and Entertainment,292000,2018
Ongo Framework,Telangana,E-Commerce and Retail,1000000,2018
Notesgen,Delhi,Education,182500,2018
Arogya Medtech,West Bengal,Healthcare and Fitness,219000,2018
Propshop24,Maharashtra,E-Commerce and Retail,500000,2018
Myupchar,Delhi,Healthcare and Fitness,5000000,2018
Missmalini Entertainment,Maharashtra,N/A,1518400,2018
Rooter,N/A,Healthcare and Fitness,657000,2018
Zestmoney,Karnataka,Information Technology (IT),13400000,2018
Alphaics Corporation,Karnataka,Information Technology (IT),0,2018
Mydentistchoice,Telangana,Healthcare and Fitness,500000,2018
Sattviko,Delhi,Agriculture and Food Production,0,2018
Sensibull,Karnataka,E-Commerce and Retail,365000,2018
Bombay Shaving Company,Delhi,E-Commerce and Retail,0,2018
Medcords,Maharashtra,Healthcare and Fitness,385440,2018
